,base_asset,compare_asset,label
0,AADR,DAX,0
152,FGM,IMOM,0
153,FID,NFTY,0
154,FID,QABA,0
155,FID,VTWV,0
156,FID,VYMI,0
157,FJP,IVAL,0
158,FKU,FTXR,0
159,FKU,QABA,0
160,FKU,SMCP,0
161,FKU,VTWV,0
164,FSZ,HEWG,0
165,FSZ,IXUS,0
151,FEX,PSCC,0
166,FSZ,PFI,0
168,FSZ,VXUS,0
169,FTAG,NFTY,0
170,FTHI,IGF,0
171,FTHI,PDBC,0
172,FTHI,PID,0
175,FTXH,NXTG,0
176,FTXH,PSCC,0
177,FTXH,SDG,0
178,FTXR,IEUS,0
179,FTXR,IPKW,0
180,FTXR,IXUS,0
181,FTXR,NFTY,0
167,FSZ,PIE,0
182,FTXR,PIE,0
150,FEUZ,SMCP,0
148,FEUZ,QABA,0
122,FCEF,PFI,0
123,FCEF,PSCC,0
124,FCEF,PSCU,0
125,FCVT,PFF,0
126,FCVT,SDG,0
127,FDT,FDTS,0
128,FDT,FEUZ,0
129,FDT,QABA,0
130,FEM,FEP,0
131,FEM,FEUZ,0
132,FEM,FKU,0
133,FEM,FTXR,0
149,FEUZ,RFEM,0
134,FEM,IPKW,0
136,FEM,QABA,0
273,VTWO,VXUS,0
138,FEM,SMCP,0
139,FEM,VTWV,0
140,FEMS,FTXR,0
141,FEMS,HEWG,0
142,FEMS,IPKW,0
143,FEMS,PIE,0
144,FEP,FTXR,0
145,FEP,QABA,0
146,FEP,SMCP,0
147,FEP,VTWV,0
135,FEM,PSCF,0
183,FTXR,RFEU,0
184,FTXR,VXUS,0
185,FTXR,VYMI,0
234,IXUS,PIE,0
235,IXUS,VTWO,0
236,KBWD,QABA,0
238,LVHD,QAT,0
240,NFTY,QVAL,0
241,NFTY,VTWV,0
242,NFTY,VYMI,0
243,NZAC,PFF,0
244,NZAC,PFI,0
245,PFF,PFI,0
246,PFF,PIO,0
247,PFF,PIZ,0
226,ISHP,QYLD,0
248,PFF,QQXT,0
250,PFF,SDG,0
251,PFF,VIGI,0
252,PFF,VTHR,0
253,PFF,VTWG,0
254,PFI,VIGI,0
255,PIE,SCZ,0
256,PIE,VXUS,0
257,PPH,PSCC,0
258,PRFZ,PSCC,0
259,PUI,QAT,0
260,QABA,VYMI,0
261,QVAL,VYMI,0
249,PFF,QYLD,0
225,ISHP,PIZ,0
224,ISHP,PFF,0
223,IPKW,RFDI,0
186,FVC,PSCC,0
187,HEWG,IEUS,0
188,HEWG,IXUS,0
189,HEWG,NXTG,0
190,HEWG,NZAC,0
191,HEWG,PFI,0
192,HEWG,PIE,0
193,HEWG,PIO,0
194,HEWG,PIZ,0
195,HEWG,PRFZ,0
196,HEWG,PSCC,0
197,HEWG,RFEU,0
198,HEWG,SCZ,0
199,HEWG,VIGI,0
200,HEWG,VTWO,0
201,HEWG,VXUS,0
205,IEUS,PIE,0
206,IEUS,SCZ,0
207,IEUS,VTWO,0
208,IFV,IMOM,0
209,IFV,RFEM,0
210,IGF,LVHD,0
211,IGF,PDBC,0
212,IGF,PEY,0
213,IGF,QAT,0
221,IMOM,RFEM,0
222,IPKW,PIE,0
121,EUFN,UAE,0
120,ESGE,VTWG,0
137,FEM,RFDI,0
118,ESGD,VXUS,0
36,CIL,CSF,0
37,CIL,DGRS,0
38,CIL,FTXR,0
39,CIL,NFTY,0
40,CIL,PFI,0
41,CIL,PIE,0
42,CIL,PRFZ,0
43,CIL,PSCU,0
44,CIL,VTWO,0
45,CIL,VTWV,0
119,ESGE,IMOM,0
47,CIZ,KBWD,0
35,CIL,CSB,0
48,CIZ,PSCF,0
50,CSA,FVC,0
51,CSA,PRFZ,0
52,CSA,PSCC,0
53,CSA,PSCU,0
54,CSB,DGRS,0
55,CSB,FVC,0
56,CSB,PSCC,0
57,CSB,PSCU,0
58,DAX,DGRE,0
59,DAX,FEMS,0
60,DAX,IMOM,0
61,DAX,PIE,0
49,CIZ,QABA,0
62,DAX,RFEM,0
34,CID,QABA,0
32,CFO,FEX,0
1,AADR,PIE,0
2,AAXJ,IMOM,0
3,AAXJ,VTWG,0
4,ACWI,PFF,0
5,ACWX,HEWG,0
6,ACWX,PIE,0
7,ACWX,VTWO,0
8,AGNG,BIS,0
9,AGNG,FCVT,0
10,AGNG,QQXT,0
11,AGNG,SDG,0
13,AIA,VTWG,0
33,CID,KBWD,0
14,ALTY,PSCF,0
18,ASET,FTXG,0
19,ASET,FVC,0
20,ASET,IUSV,0
21,ASET,LVHD,0
22,ASET,VONV,0
23,BIS,EMIF,0
24,BIS,QQXT,0
25,BIS,RNRG,0
26,BJK,FGM,0
27,BJK,IMOM,0
28,BJK,RFEM,0
31,CDC,PPH,0
15,ALTY,QAT,0
63,DDIV,FTA,0
46,CIZ,DXJS,0
65,DDIV,PID,0
88,DXJS,IPKW,0
89,DXJS,NFTY,0
90,DXJS,PIE,0
91,DXJS,PSCU,0
92,DXJS,QABA,0
93,DXJS,QVAL,0
94,DXJS,RFEM,0
64,DDIV,IMCV,0
95,DXJS,SMCP,0
96,DXJS,VTWV,0
97,DXJS,VYMI,0
87,DXJS,FKU,0
98,EEMA,IMOM,0
100,EFAS,KBWD,0
101,EFAS,NFTY,0
102,EFAS,PSCF,0
103,EFAS,QABA,0
104,EFAS,UAE,0
112,ESGD,FSZ,0
113,ESGD,HEWG,0
114,ESGD,PFI,0
115,ESGD,PIE,0
116,ESGD,PSCC,0
117,ESGD,VTWO,0
99,EEMA,VTWG,0
86,DXJS,FID,0
274,VTWV,VYMI,0
84,DXJS,FEP,0
66,DGRE,ESGE,0
67,DGRE,FTXR,0
68,DGRE,HEWG,0
69,DGRE,IEUS,0
70,DGRE,IMOM,0
71,DGRE,SCZ,0
72,DGRE,VTWO,0
73,DGRS,FCEF,0
85,DXJS,FEUZ,0
75,DGRS,PRFZ,0
76,DGRS,PSCC,0
77,DGRW,PPH,0
78,DVY,PEY,0
79,DXJS,EFAS,0
80,DXJS,FDT,0
74,DGRS,FVC,0
81,DXJS,FDTS,0
82,DXJS,FEM,0
83,DXJS,FEMS,0
30,BND,VGSH,1
109,EMCB,SHY,1
110,EMCB,VGSH,1
111,EMCB,VMBS,1
203,IEI,IUSB,1
173,FTSL,VTIP,1
174,FTSM,SHV,1
204,IEI,VWOB,1
262,SHY,SKOR,1
263,SHY,SLQD,1
264,SHY,USIG,1
265,SKOR,VGSH,1
266,SLQD,VGSH,1
267,USIG,VCIT,1
268,USIG,VGSH,1
269,VCIT,VGSH,1
270,VCSH,VGSH,1
271,VGIT,VWOB,1
272,VRIG,VTIP,1
108,EMCB,MFLX,1
107,EMCB,IEI,1
12,AGZD,VRIG,1
106,EMB,VMBS,1
228,ISTB,USIG,1
229,ISTB,VCIT,1
230,ISTB,VCSH,1
231,IUSB,SHY,1
232,IUSB,VCIT,1
233,IUSB,VGSH,1
162,FMB,HYLS,1
163,FMB,SLQD,1
202,HYLS,HYXF,1
237,LMBS,SHY,1
220,IGSB,VGSH,1
239,MBB,VMBS,1
219,IGSB,VCSH,1
218,IGSB,ISTB,1
217,IGIB,VGSH,1
216,IGIB,USIG,1
215,IGIB,SHY,1
17,ANGL,FTSL,1
16,ANGL,FALN,1
214,IGIB,ISTB,1
105,EMB,GNMA,1
29,BND,SHY,1
227,ISTB,SLQD,1
